filename,width,height,class,xmin,ymin,xmax,ymax
028.jpg,1024,1024,good,113,149,926,877
279.jpg,1024,1024,good,88,175,954,862
188.jpg,1024,1024,good,124,134,909,890
194.jpg,1024,1024,good,175,92,849,926
004.jpg,1024,1024,good,345,34,671,981
313.jpg,1024,1024,good,41,315,977,715
250.jpg,1024,1024,good,292,49,734,973
228.jpg,1024,1024,good,222,62,796,956
247.jpg,1024,1024,good,292,41,722,979
043.jpg,1024,1024,good,183,86,837,943
204.jpg,1024,1024,good,34,332,983,703
136.jpg,1024,1024,good,43,354,988,683
231.jpg,1024,1024,good,24,356,990,673
205.jpg,1024,1024,good,341,34,654,981
190.jpg,1024,1024,good,215,75,807,956
214.jpg,1024,1024,good,54,232,983,792
005.jpg,1024,1024,good,64,260,979,760
199.jpg,1024,1024,good,296,43,739,975
027.jpg,1024,1024,good,96,156,930,851
241.jpg,1024,1024,good,88,179,934,839
248.jpg,1024,1024,good,39,358,985,675
078.jpg,1024,1024,good,58,234,968,783
050.jpg,1024,1024,good,105,113,892,907
122.jpg,1024,1024,good,43,343,983,679
293.jpg,1024,1024,good,345,32,690,990
015.jpg,1024,1024,good,47,341,975,671
295.jpg,1024,1024,good,88,154,932,851
127.jpg,1024,1024,good,232,51,792,964
263.jpg,1024,1024,good,45,358,988,669
175.jpg,1024,1024,good,41,328,992,696
257.jpg,1024,1024,good,217,66,815,962
009.jpg,1024,1024,good,77,205,945,826
154.jpg,1024,1024,good,45,356,996,671
115.jpg,1024,1024,good,147,124,885,907
103.jpg,1024,1024,good,54,260,968,773
014.jpg,1024,1024,good,64,217,956,817
273.jpg,1024,1024,good,111,145,915,873
069.jpg,1024,1024,good,54,226,962,790
282.jpg,1024,1024,good,215,73,845,960
227.jpg,1024,1024,good,39,245,971,777
041.jpg,1024,1024,good,326,43,711,979
144.jpg,1024,1024,good,217,58,809,966
139.jpg,1024,1024,good,66,194,949,841
146.jpg,1024,1024,good,173,94,843,941
215.jpg,1024,1024,good,79,179,947,841
169.jpg,1024,1024,good,294,49,743,969
073.jpg,1024,1024,good,58,266,975,758
088.jpg,1024,1024,good,51,324,988,713
300.jpg,1024,1024,good,34,313,1000,700
064.jpg,1024,1024,good,332,43,696,975
098.jpg,1024,1024,good,109,143,903,892
047.jpg,1024,1024,good,347,47,668,983
020.jpg,1024,1024,good,145,107,885,913
008.jpg,1024,1024,good,41,322,992,705
281.jpg,1024,1024,good,124,128,905,896
082.jpg,1024,1024,good,234,66,796,966
222.jpg,1024,1024,good,285,45,722,979
208.jpg,1024,1024,good,166,83,868,928
150.jpg,1024,1024,good,73,224,954,800
077.jpg,1024,1024,good,328,43,730,988
184.jpg,1024,1024,good,98,158,928,862
140.jpg,1024,1024,good,245,51,830,958
035.jpg,1024,1024,good,51,251,968,781
201.jpg,1024,1024,good,58,283,985,771
237.jpg,1024,1024,good,45,351,990,675
229.jpg,1024,1024,good,64,215,966,817
002.jpg,1024,1024,good,354,41,675,973
037.jpg,1024,1024,good,262,49,754,973
168.jpg,1024,1024,good,54,264,956,764
183.jpg,1024,1024,good,273,47,756,986
200.jpg,1024,1024,good,354,34,688,986
303.jpg,1024,1024,good,43,351,998,683
315.jpg,1024,1024,good,107,130,920,894
290.jpg,1024,1024,good,85,173,939,858
210.jpg,1024,1024,good,243,66,783,958
232.jpg,1024,1024,good,317,37,675,981
038.jpg,1024,1024,good,143,103,873,920
224.jpg,1024,1024,good,58,239,966,783
314.jpg,1024,1024,good,77,200,941,822
083.jpg,1024,1024,good,54,260,962,779
255.jpg,1024,1024,good,83,179,949,860
195.jpg,1024,1024,good,85,179,949,841
034.jpg,1024,1024,good,49,262,983,792
065.jpg,1024,1024,good,66,251,977,786
074.jpg,1024,1024,good,351,32,662,986
022.jpg,1024,1024,good,58,264,973,758
113.jpg,1024,1024,good,32,354,1000,671
212.jpg,1024,1024,good,49,264,975,764
171.jpg,1024,1024,good,34,320,988,709
086.jpg,1024,1024,good,113,139,907,886
026.jpg,1024,1024,good,47,311,977,724
234.jpg,1024,1024,good,37,343,981,673
151.jpg,1024,1024,good,220,64,803,958
166.jpg,1024,1024,good,160,100,864,934
046.jpg,1024,1024,good,37,360,985,675
084.jpg,1024,1024,good,222,58,817,956
071.jpg,1024,1024,good,205,81,822,951
306.jpg,1024,1024,good,51,222,977,792
192.jpg,1024,1024,good,62,243,964,781
180.jpg,1024,1024,good,103,160,930,871
259.jpg,1024,1024,good,351,41,690,983
216.jpg,1024,1024,good,85,162,937,824
271.jpg,1024,1024,good,181,75,858,943
131.jpg,1024,1024,good,215,73,807,956
276.jpg,1024,1024,good,145,96,866,909
157.jpg,1024,1024,good,30,351,988,681
013.jpg,1024,1024,good,103,175,924,845
051.jpg,1024,1024,good,66,186,945,839
218.jpg,1024,1024,good,56,226,960,805
156.jpg,1024,1024,good,256,43,771,973
032.jpg,1024,1024,good,232,73,824,954
076.jpg,1024,1024,good,66,245,960,805
052.jpg,1024,1024,good,115,147,911,869
316.jpg,1024,1024,good,85,186,941,854
272.jpg,1024,1024,good,49,347,985,675
225.jpg,1024,1024,good,109,164,934,866
106.jpg,1024,1024,good,334,39,668,988
062.jpg,1024,1024,good,117,109,896,898
025.jpg,1024,1024,good,126,124,888,900
178.jpg,1024,1024,good,34,360,985,675
000.jpg,1024,1024,good,156,117,868,905
075.jpg,1024,1024,good,47,362,971,671
177.jpg,1024,1024,good,354,41,671,994
058.jpg,1024,1024,good,192,96,851,937
162.jpg,1024,1024,good,122,130,896,898
185.jpg,1024,1024,good,49,256,964,771
018.jpg,1024,1024,good,41,362,988,690
258.jpg,1024,1024,good,215,69,800,958
094.jpg,1024,1024,good,77,209,956,824
133.jpg,1024,1024,good,54,271,971,758
107.jpg,1024,1024,good,317,37,681,988
021.jpg,1024,1024,good,49,271,985,754
152.jpg,1024,1024,good,43,300,977,722
309.jpg,1024,1024,good,43,251,977,766
297.jpg,1024,1024,good,215,64,803,969
049.jpg,1024,1024,good,349,37,675,986
302.jpg,1024,1024,good,75,200,958,822
230.jpg,1024,1024,good,345,39,675,988
249.jpg,1024,1024,good,215,73,817,951
277.jpg,1024,1024,good,120,132,917,894
117.jpg,1024,1024,good,292,43,732,973
138.jpg,1024,1024,good,64,211,966,792
097.jpg,1024,1024,good,160,98,856,932
010.jpg,1024,1024,good,79,196,943,817
155.jpg,1024,1024,good,347,24,677,981
091.jpg,1024,1024,good,266,47,788,977
110.jpg,1024,1024,good,39,334,979,703
036.jpg,1024,1024,good,322,43,707,990
149.jpg,1024,1024,good,243,58,756,958
267.jpg,1024,1024,good,83,186,949,828
251.jpg,1024,1024,good,77,188,949,841
198.jpg,1024,1024,good,45,351,977,673
268.jpg,1024,1024,good,122,122,898,883
236.jpg,1024,1024,good,224,64,807,971
242.jpg,1024,1024,good,109,149,932,851
023.jpg,1024,1024,good,324,41,709,977
292.jpg,1024,1024,good,256,56,809,973
029.jpg,1024,1024,good,43,311,973,717
031.jpg,1024,1024,good,194,73,822,945
239.jpg,1024,1024,good,200,79,849,949
143.jpg,1024,1024,good,111,147,922,864
011.jpg,1024,1024,good,77,196,945,820
040.jpg,1024,1024,good,245,58,777,969
118.jpg,1024,1024,good,164,103,856,920
112.jpg,1024,1024,good,332,39,688,983
160.jpg,1024,1024,good,220,69,809,960
256.jpg,1024,1024,good,245,62,779,960
061.jpg,1024,1024,good,249,51,811,964
278.jpg,1024,1024,good,134,113,913,909
299.jpg,1024,1024,good,51,228,966,809
096.jpg,1024,1024,good,356,37,696,986
129.jpg,1024,1024,good,64,230,954,796
317.jpg,1024,1024,good,85,194,951,847
126.jpg,1024,1024,good,37,347,983,694
217.jpg,1024,1024,good,47,309,977,707
311.jpg,1024,1024,good,194,71,830,949
246.jpg,1024,1024,good,83,188,945,841
024.jpg,1024,1024,good,117,143,909,881
111.jpg,1024,1024,good,192,79,862,941
059.jpg,1024,1024,good,37,334,977,703
220.jpg,1024,1024,good,34,362,968,664
179.jpg,1024,1024,good,349,39,690,992
134.jpg,1024,1024,good,141,113,900,903
019.jpg,1024,1024,good,79,188,954,830
087.jpg,1024,1024,good,358,43,683,977
283.jpg,1024,1024,good,34,351,985,671
070.jpg,1024,1024,good,94,160,930,854
145.jpg,1024,1024,good,37,300,983,728
090.jpg,1024,1024,good,303,39,817,986
233.jpg,1024,1024,good,356,45,677,988
165.jpg,1024,1024,good,234,56,775,964
280.jpg,1024,1024,good,88,154,934,860
294.jpg,1024,1024,good,96,154,924,866
274.jpg,1024,1024,good,115,132,915,890
153.jpg,1024,1024,good,264,54,747,973
045.jpg,1024,1024,good,339,28,690,977
182.jpg,1024,1024,good,43,300,994,728
159.jpg,1024,1024,good,160,100,868,932
123.jpg,1024,1024,good,356,45,677,992
120.jpg,1024,1024,good,192,77,837,947
211.jpg,1024,1024,good,147,111,858,907
158.jpg,1024,1024,good,351,34,692,986
142.jpg,1024,1024,good,166,94,851,939
068.jpg,1024,1024,good,356,39,690,983
312.jpg,1024,1024,good,337,41,698,990
174.jpg,1024,1024,good,34,339,977,681
044.jpg,1024,1024,good,81,207,945,834
119.jpg,1024,1024,good,66,205,951,813
054.jpg,1024,1024,good,51,347,985,679
245.jpg,1024,1024,good,85,183,941,847
057.jpg,1024,1024,good,183,92,854,937
305.jpg,1024,1024,good,64,217,956,803
253.jpg,1024,1024,good,92,177,947,858
085.jpg,1024,1024,good,71,224,971,792
079.jpg,1024,1024,good,277,43,773,977
017.jpg,1024,1024,good,181,92,843,932
310.jpg,1024,1024,good,122,130,911,890
101.jpg,1024,1024,good,334,30,679,988
067.jpg,1024,1024,good,181,94,847,934
039.jpg,1024,1024,good,254,37,771,973
269.jpg,1024,1024,good,217,69,805,954
125.jpg,1024,1024,good,62,194,956,817
270.jpg,1024,1024,good,139,107,888,920
147.jpg,1024,1024,good,228,60,809,973
318.jpg,1024,1024,good,358,41,677,983
226.jpg,1024,1024,good,47,264,981,754
238.jpg,1024,1024,good,58,224,983,805
219.jpg,1024,1024,good,343,32,677,992
104.jpg,1024,1024,good,62,220,956,805
030.jpg,1024,1024,good,45,317,983,705
285.jpg,1024,1024,good,85,186,932,849
260.jpg,1024,1024,good,343,41,685,994
202.jpg,1024,1024,good,324,39,692,979
164.jpg,1024,1024,good,139,115,898,920
003.jpg,1024,1024,good,96,164,930,860
108.jpg,1024,1024,good,128,141,920,900
261.jpg,1024,1024,good,175,88,849,928
265.jpg,1024,1024,good,134,126,888,909
191.jpg,1024,1024,good,198,77,817,941
099.jpg,1024,1024,good,30,317,990,700
193.jpg,1024,1024,good,45,320,985,703
252.jpg,1024,1024,good,273,47,756,977
170.jpg,1024,1024,good,62,222,954,798
081.jpg,1024,1024,good,71,226,983,796
167.jpg,1024,1024,good,43,300,975,730
221.jpg,1024,1024,good,66,211,951,820
235.jpg,1024,1024,good,234,62,805,945
213.jpg,1024,1024,good,120,117,888,907
298.jpg,1024,1024,good,71,215,971,815
161.jpg,1024,1024,good,134,128,903,903
284.jpg,1024,1024,good,292,45,737,986
203.jpg,1024,1024,good,37,328,981,688
007.jpg,1024,1024,good,81,215,968,832
223.jpg,1024,1024,good,179,100,852,930
135.jpg,1024,1024,good,366,34,681,996
066.jpg,1024,1024,good,354,32,717,1000
100.jpg,1024,1024,good,317,43,737,981
163.jpg,1024,1024,good,168,103,854,930
130.jpg,1024,1024,good,166,103,858,913
296.jpg,1024,1024,good,66,213,968,809
240.jpg,1024,1024,good,79,188,954,826
063.jpg,1024,1024,good,62,224,977,788
275.jpg,1024,1024,good,156,113,871,920
